"id","fqdn/ip","port","severity","finding","cve","cwe"
"certificate_compression","www.univ-evry.fr/194.199.84.39","443","INFO","none","",""
"clientAuth","www.univ-evry.fr/194.199.84.39","443","INFO","none","",""
"cert_numbers","www.univ-evry.fr/194.199.84.39","443","INFO","1","",""
"cert_signatureAlgorithm","www.univ-evry.fr/194.199.84.39","443","OK","ECDSA with SHA384","",""
"cert_keySize","www.univ-evry.fr/194.199.84.39","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.univ-evry.fr/194.199.84.39","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.univ-evry.fr/194.199.84.39","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber","www.univ-evry.fr/194.199.84.39","443","INFO","73D9D72BB9C60D015EF7C9A715AEB80D","",""
"cert_serialNumberLen","www.univ-evry.fr/194.199.84.39","443","INFO","16","",""
"cert_fingerprintSHA1","www.univ-evry.fr/194.199.84.39","443","INFO","ADADBAA7792D307E462B3201662984768F6EF313","",""
"cert_fingerprintSHA256","www.univ-evry.fr/194.199.84.39","443","INFO","1632CAF859418894D8FFC96DADD91CDA935267B4D9CE2453CA592B4C379FDD91","",""
